sample_id,session_id,official_split,proposed_independent_split,translation
df4bb619957f-55,df4bb619957f,train,train,Mew
df4bb619957f-56,df4bb619957f,train,train,Fall
df4bb619957f-57,df4bb619957f,train,train,Word fun!
df4bb619957f-58,df4bb619957f,train,train,Fill in the letters to complete the crossword puzzle.
df4bb619957f-59,df4bb619957f,train,train,Use the pictures as clues to find the fruit.
df4bb619957f-61,df4bb619957f,train,train,You can see a puzzle with pictures of fruits and some rows and columns with letters in it.
df4bb619957f-62,df4bb619957f,train,train,The first one
df4bb619957f-63,df4bb619957f,train,train,is a picture of an orange.
df4bb619957f-64,df4bb619957f,train,train,You have to fill the spelling of an orange
df4bb619957f-65,df4bb619957f,train,train,in the first column.
df4bb619957f-66,df4bb619957f,train,train,"Similarly, you have to do with the second one."
df4bb619957f-67,df4bb619957f,train,train,which is grapefruit. Write the spelling of grapes in the second row.
df4bb619957f-68,df4bb619957f,train,train,Third one is mango.
df4bb619957f-69,df4bb619957f,train,train,"In the column, with number 3 on it, you have to write the spelling of a mango."
df4bb619957f-70,df4bb619957f,train,train,The fourth one is a banana.
df4bb619957f-71,df4bb619957f,train,train,The fifth one is Apple.
df4bb619957f-72,df4bb619957f,train,train,and 6th one is pear.
df4bb619957f-76,df4bb619957f,train,train,in your own language and then in English.
7bccd31315d7-1,7bccd31315d7,train,train,Page 56. Circle
7bccd31315d7-2,7bccd31315d7,train,train,"Listen, read."
7bccd31315d7-4,7bccd31315d7,train,train,Mohini was sitting with her grandmother.
7bccd31315d7-6,7bccd31315d7,train,train,Grandmother drew a circle.
7bccd31315d7-7,7bccd31315d7,train,train,Can you draw a circle Mohini?
7bccd31315d7-8,7bccd31315d7,train,train,"Yes, I can."
7bccd31315d7-9,7bccd31315d7,train,train,and soon Mohini drew a circle.
7bccd31315d7-10,7bccd31315d7,train,train,Now I will draw a ball!
7bccd31315d7-11,7bccd31315d7,train,train,Grandmother drew three lines on the circle.
7bccd31315d7-12,7bccd31315d7,train,train,Mohini drew three lines on her circle.
7bccd31315d7-14,7bccd31315d7,train,train,It really looked like a ball.
7bccd31315d7-16,7bccd31315d7,train,train,Grandmother added a zigzag line to the circle.
7bccd31315d7-18,7bccd31315d7,train,train,"Oh, it really looks like a balloon. Mohini clapped with joy."
7bccd31315d7-19,7bccd31315d7,train,train,Mohini drew many circles.
7bccd31315d7-20,7bccd31315d7,train,train,Big and small circles.
7bccd31315d7-21,7bccd31315d7,train,train,red blue
7bccd31315d7-22,7bccd31315d7,train,train,green and yellow circles.
7bccd31315d7-23,7bccd31315d7,train,train,She also added zigzag lines to these.
7bccd31315d7-25,7bccd31315d7,train,train,"And now, there were many balloons."
7bccd31315d7-27,7bccd31315d7,train,train,Can you draw something else with a circle? Asked her grandmother.
7bccd31315d7-29,7bccd31315d7,train,train,Yes. Sad Mohini in excitement. She drew a wheel.
7bccd31315d7-30,7bccd31315d7,train,train,a moon
7bccd31315d7-31,7bccd31315d7,train,train,A sun.
7bccd31315d7-32,7bccd31315d7,train,train,"a rabbit, and her own face."
7bccd31315d7-36,7bccd31315d7,train,train,New words
7bccd31315d7-37,7bccd31315d7,train,train,ball blue
7bccd31315d7-38,7bccd31315d7,train,train,Circle Lines
7bccd31315d7-39,7bccd31315d7,train,train,Moon
7bccd31315d7-42,7bccd31315d7,train,train,The moon is round.
7bccd31315d7-43,7bccd31315d7,train,train,Page 58
7bccd31315d7-44,7bccd31315d7,train,train,Reading is fun.
7bccd31315d7-45,7bccd31315d7,train,train,What did Grandmother and Mohini draw first?
7bccd31315d7-47,7bccd31315d7,train,train,Let's draw.
7bccd31315d7-48,7bccd31315d7,train,train,"In the circles below, draw"
7bccd31315d7-49,7bccd31315d7,train,train,What Grandmother drew?
7bccd31315d7-50,7bccd31315d7,train,train,What Mohini drew?
7bccd31315d7-52,7bccd31315d7,train,train,Look at these shapes.
7bccd31315d7-53,7bccd31315d7,train,train,Triangle
7bccd31315d7-54,7bccd31315d7,train,train,Square.
7bccd31315d7-55,7bccd31315d7,train,train,Rectangle. Try making these shapes.
7bccd31315d7-56,7bccd31315d7,train,train,into
7bccd31315d7-57,7bccd31315d7,train,train,a car
7bccd31315d7-58,7bccd31315d7,train,train,a house
7bccd31315d7-59,7bccd31315d7,train,train,a door
7bccd31315d7-60,7bccd31315d7,train,train,Anything else?
7bccd31315d7-61,7bccd31315d7,train,train,Here you can see a picture of a house.
7bccd31315d7-64,7bccd31315d7,train,train,page 59.
7bccd31315d7-65,7bccd31315d7,train,train,Draw along the dots.
7bccd31315d7-66,7bccd31315d7,train,train,"So, what did you make?"
7bccd31315d7-67,7bccd31315d7,train,train,Can you make sounds like a train?
7bccd31315d7-68,7bccd31315d7,train,train,Here you can connect the dots to make a fine picture of a train.
7bccd31315d7-69,7bccd31315d7,train,train,Draw a face on the balloon below.
7bccd31315d7-70,7bccd31315d7,train,train,One has been done for you!
7bccd31315d7-71,7bccd31315d7,train,train,Here you can see picture of a balloon with a face drawn on it. Funny indeed?
7bccd31315d7-73,7bccd31315d7,train,train,"And on the other one, there is no face drawn. So you have to draw it."
7bccd31315d7-75,7bccd31315d7,train,train,Page 60
7bccd31315d7-76,7bccd31315d7,train,train,Let's read and write.
7bccd31315d7-77,7bccd31315d7,train,train,A
7bccd31315d7-78,7bccd31315d7,train,train,B
7bccd31315d7-79,7bccd31315d7,train,train,"C, D, E, F"
7bccd31315d7-80,7bccd31315d7,train,train,Here are some alphabets given with the dots.
7bccd31315d7-81,7bccd31315d7,train,train,Connect the dots to complete each alphabet.
7bccd31315d7-82,7bccd31315d7,train,train,A
7bccd31315d7-84,7bccd31315d7,train,train,B
7bccd31315d7-85,7bccd31315d7,train,train,C D
7bccd31315d7-86,7bccd31315d7,train,train,E
7bccd31315d7-87,7bccd31315d7,train,train,F.
7bccd31315d7-88,7bccd31315d7,train,train,Now G
7bccd31315d7-89,7bccd31315d7,train,train,"H, I"
7bccd31315d7-90,7bccd31315d7,train,train,"J, K"
7bccd31315d7-91,7bccd31315d7,train,train,L
7bccd31315d7-93,7bccd31315d7,train,train,G
7bccd31315d7-96,7bccd31315d7,train,train,J
7bccd31315d7-97,7bccd31315d7,train,train,K
7bccd31315d7-98,7bccd31315d7,train,train,L. Once again.
7bccd31315d7-99,7bccd31315d7,train,train,M
7bccd31315d7-101,7bccd31315d7,train,train,O
7bccd31315d7-102,7bccd31315d7,train,train,P
7bccd31315d7-103,7bccd31315d7,train,train,Q
7bccd31315d7-104,7bccd31315d7,train,train,R.
7bccd31315d7-105,7bccd31315d7,train,train,"In the same way, connect the dots to complete each alphabet given here."
7bccd31315d7-106,7bccd31315d7,train,train,M
7bccd31315d7-108,7bccd31315d7,train,train,O!
7bccd31315d7-109,7bccd31315d7,train,train,P
7bccd31315d7-110,7bccd31315d7,train,train,Q
7bccd31315d7-111,7bccd31315d7,train,train,R
7bccd31315d7-112,7bccd31315d7,train,train,page 61. Mango
7bccd31315d7-113,7bccd31315d7,train,train,Nut Orange
7bccd31315d7-114,7bccd31315d7,train,train,Peach
7bccd31315d7-115,7bccd31315d7,train,train,"Knowing the words you just read, connect the dots to make the word mango."
7bccd31315d7-117,7bccd31315d7,train,train,M
7bccd31315d7-118,7bccd31315d7,train,train,A
7bccd31315d7-119,7bccd31315d7,train,train,N
7bccd31315d7-120,7bccd31315d7,train,train,G
7bccd31315d7-121,7bccd31315d7,train,train,O
7bccd31315d7-123,7bccd31315d7,train,train,to complete nut.
7bccd31315d7-124,7bccd31315d7,train,train,N
7bccd31315d7-125,7bccd31315d7,train,train,U
7bccd31315d7-126,7bccd31315d7,train,train,T
7bccd31315d7-127,7bccd31315d7,train,train,"and then orange, o"
7bccd31315d7-128,7bccd31315d7,train,train,R
7bccd31315d7-130,7bccd31315d7,train,train,g
7bccd31315d7-131,7bccd31315d7,train,train,E
7bccd31315d7-132,7bccd31315d7,train,train,and now P
7bccd31315d7-133,7bccd31315d7,train,train,E
7bccd31315d7-134,7bccd31315d7,train,train,A C
7bccd31315d7-135,7bccd31315d7,train,train,H
7bccd31315d7-136,7bccd31315d7,train,train,peach
7bccd31315d7-137,7bccd31315d7,train,train,Now look at the picture and fill in the blanks.
7bccd31315d7-138,7bccd31315d7,train,train,Here you can see picture of a dog.
7bccd31315d7-139,7bccd31315d7,train,train,a bull
7bccd31315d7-140,7bccd31315d7,train,train,an elephant
7bccd31315d7-142,7bccd31315d7,train,train,"a horse, and a cat."
7bccd31315d7-143,7bccd31315d7,train,train,Now fill in the blanks.
7bccd31315d7-144,7bccd31315d7,train,train,D
7bccd31315d7-145,7bccd31315d7,train,train,dash dash B
7bccd31315d7-146,7bccd31315d7,train,train,Dash. Dash. Dash. e
7bccd31315d7-147,7bccd31315d7,train,train,dash dash dash dash dash dash dash o
7bccd31315d7-149,7bccd31315d7,train,train,H dash
7bccd31315d7-150,7bccd31315d7,train,train,dash dash dash c
7bccd31315d7-151,7bccd31315d7,train,train,"dash, dash"
006faf1f7c93-1,006faf1f7c93,train,train,Unit 5
006faf1f7c93-2,006faf1f7c93,train,train,Merry go round.
006faf1f7c93-3,006faf1f7c93,train,train,"Listen, sing and dance."
006faf1f7c93-4,006faf1f7c93,train,train,I climb up on the merry-go-round.
006faf1f7c93-5,006faf1f7c93,train,train,And it went round and round.
006faf1f7c93-6,006faf1f7c93,train,train,I climb up on a big brown horse and it went up and down.
006faf1f7c93-7,006faf1f7c93,train,train,"around and round and up and down,  around and round and up and down"
006faf1f7c93-9,006faf1f7c93,train,train,and rode around.
006faf1f7c93-10,006faf1f7c93,train,train,"On the merry go round, I rode around."
006faf1f7c93-12,006faf1f7c93,train,train,"On the merry-go-round, a round and round and round."
006faf1f7c93-13,006faf1f7c93,train,train,By Dorothy W. Baruch
006faf1f7c93-14,006faf1f7c93,train,train,New words learnt from the poem.
006faf1f7c93-15,006faf1f7c93,train,train,Around. Down.
006faf1f7c93-16,006faf1f7c93,train,train,In
006faf1f7c93-18,006faf1f7c93,train,train,Round
006faf1f7c93-19,006faf1f7c93,train,train,Up.
006faf1f7c93-21,006faf1f7c93,train,train,on a horse.
006faf1f7c93-22,006faf1f7c93,train,train,page 54
006faf1f7c93-23,006faf1f7c93,train,train,Reading is fun.
006faf1f7c93-24,006faf1f7c93,train,train,How did the merry go round go?
006faf1f7c93-25,006faf1f7c93,train,train,How did the big brown horse go?
006faf1f7c93-27,006faf1f7c93,train,train,Have you seen a merry go round?
006faf1f7c93-31,006faf1f7c93,train,train,Look at this picture and describe the fare.
006faf1f7c93-35,006faf1f7c93,train,train,Kids raising balloons.
006faf1f7c93-36,006faf1f7c93,train,train,and vendors selling various toys to the kids.
006faf1f7c93-37,006faf1f7c93,train,train,Page 55
006faf1f7c93-38,006faf1f7c93,train,train,Go round the merry go round.
006faf1f7c93-39,006faf1f7c93,train,train,Circle the letters and say them aloud.
006faf1f7c93-40,006faf1f7c93,train,train,Here in the picture you can see kids riding on a merry-go-round on horses.
62e79450f3da-1,62e79450f3da,train,train,Page number 105
62e79450f3da-2,62e79450f3da,train,train,Unit 7. Reside this poem.
62e79450f3da-4,62e79450f3da,train,train,"On my blackboard, I can draw."
62e79450f3da-5,62e79450f3da,train,train,One little house with one green door.
62e79450f3da-6,62e79450f3da,train,train,Two brown gates that open wide.
62e79450f3da-7,62e79450f3da,train,train,3 red steps that lead inside.
62e79450f3da-8,62e79450f3da,train,train,four little chimneys painted white.
62e79450f3da-9,62e79450f3da,train,train,Five little windows shining bright.
62e79450f3da-10,62e79450f3da,train,train,6 yellow marigolds straight and tall growing up against the wall.
62e79450f3da-11,62e79450f3da,train,train,New words.
62e79450f3da-13,62e79450f3da,train,train,LEAD
62e79450f3da-14,62e79450f3da,train,train,chimney
62e79450f3da-15,62e79450f3da,train,train,Marygolds Straight
62e79450f3da-17,62e79450f3da,train,train,How many windows does the house have in this poem?
62e79450f3da-18,62e79450f3da,train,train,Where do the merrygolds grow?
62e79450f3da-19,62e79450f3da,train,train,Say aloud. Draw.
62e79450f3da-20,62e79450f3da,train,train,Drain
62e79450f3da-21,62e79450f3da,train,train,drip brown
62e79450f3da-22,62e79450f3da,train,train,Brain
62e79450f3da-23,62e79450f3da,train,train,Brick
62e79450f3da-24,62e79450f3da,train,train,three
62e79450f3da-25,62e79450f3da,train,train,Throw
62e79450f3da-26,62e79450f3da,train,train,Thread
62e79450f3da-28,62e79450f3da,train,train,grapes Great!
62e79450f3da-29,62e79450f3da,train,train,Let's listen. Every room becomes dirty.
62e79450f3da-30,62e79450f3da,train,train,If not cleaned.
62e79450f3da-31,62e79450f3da,train,train,Let's clean our classroom while singing this poem.
62e79450f3da-33,62e79450f3da,train,train,I'm going to sweep the dirt away.
62e79450f3da-34,62e79450f3da,train,train,I'm going to sweep the dirt away.
62e79450f3da-35,62e79450f3da,train,train,woosh woosh woosh
62e79450f3da-36,62e79450f3da,train,train,By Rose Fyleman
62e79450f3da-37,62e79450f3da,train,train,page 107 Let's write.
62e79450f3da-38,62e79450f3da,train,train,These are the two rooms of the house. Color them.
62e79450f3da-39,62e79450f3da,train,train,Based on this activity complete the paragraphs.
62e79450f3da-40,62e79450f3da,train,train,Here you can see a picture of a beautiful room.
62e79450f3da-41,62e79450f3da,train,train,"Only if you can color it, you can find out many items like a bed."
62e79450f3da-42,62e79450f3da,train,train,A pillow A teddy bear
62e79450f3da-46,62e79450f3da,train,train,The color of my bed is......dash!
62e79450f3da-47,62e79450f3da,train,train,There are dash pictures on the wall.
62e79450f3da-49,62e79450f3da,train,train,TV curtain
62e79450f3da-50,62e79450f3da,train,train,Tube light
62e79450f3da-51,62e79450f3da,train,train,A bulb and so on. Now finish the sentences.
62e79450f3da-52,62e79450f3da,train,train,to complete the picture. This is a dash.
62e79450f3da-53,62e79450f3da,train,train,It has dash in it. We watch dash here.
62e79450f3da-54,62e79450f3da,train,train,It has dash curtains. It has dash table. Page.
62e79450f3da-55,62e79450f3da,train,train,108
62e79450f3da-57,62e79450f3da,train,train,He is as busy as a dash.
62e79450f3da-58,62e79450f3da,train,train,"Then again, there is a picture of a snail."
62e79450f3da-59,62e79450f3da,train,train,Raj is as slow as a dash.
62e79450f3da-61,62e79450f3da,train,train,Now here is a picture of a night sky.
62e79450f3da-62,62e79450f3da,train,train,My hair is as black as dash.
62e79450f3da-63,62e79450f3da,train,train,Ask your friend to keep his mouth wide open.
62e79450f3da-67,62e79450f3da,train,train,Ask someone to close the door using the words.
62e79450f3da-68,62e79450f3da,train,train,Wide open half shot
62e79450f3da-69,62e79450f3da,train,train,and fully shut. Page number
62e79450f3da-71,62e79450f3da,train,train,Find the right sentence.
62e79450f3da-72,62e79450f3da,train,train,"Read the pairs of sentences below, fill in the blanks in the second sentence with the opposite of the word in red."
62e79450f3da-73,62e79450f3da,train,train,In the first picture you can see a boy running or walking outside the school.
62e79450f3da-76,62e79450f3da,train,train,In the second picture you can see a clown hanging upside down.
62e79450f3da-77,62e79450f3da,train,train,The clown is very happy.
62e79450f3da-78,62e79450f3da,train,train,The clone is very... dash
62e79450f3da-79,62e79450f3da,train,train,In the third picture you can see a girl walking on a rope.
62e79450f3da-80,62e79450f3da,train,train,The girl is walking on a loose rope.
62e79450f3da-81,62e79450f3da,train,train,The girl is walking on a dash rope.
62e79450f3da-82,62e79450f3da,train,train,Page number 110
62e79450f3da-83,62e79450f3da,train,train,Change from singular to plural by adding
62e79450f3da-84,62e79450f3da,train,train,E S I E S
62e79450f3da-85,62e79450f3da,train,train,V E S
62e79450f3da-86,62e79450f3da,train,train,For example
62e79450f3da-87,62e79450f3da,train,train,"Buffalo, Buffaloes"
62e79450f3da-88,62e79450f3da,train,train,baby babies
62e79450f3da-89,62e79450f3da,train,train,Knife Knives
62e79450f3da-90,62e79450f3da,train,train,Hero dash.
62e79450f3da-91,62e79450f3da,train,train,fly dash
62e79450f3da-92,62e79450f3da,train,train,Wolf. Dash.
62e79450f3da-93,62e79450f3da,train,train,"Potato, dash."
62e79450f3da-94,62e79450f3da,train,train,"Lady, dash"
62e79450f3da-95,62e79450f3da,train,train,loaf dash
62e79450f3da-96,62e79450f3da,train,train,Fun time!
62e79450f3da-98,62e79450f3da,train,train,crawl crawl crawl
62e79450f3da-99,62e79450f3da,train,train,Can you hope like it grass open?
62e79450f3da-100,62e79450f3da,train,train,"Hop, hop, hop!"
62e79450f3da-101,62e79450f3da,train,train,Can you zoom like an aeroplane?
62e79450f3da-102,62e79450f3da,train,train,"Zoom, zoom, zoom"
1cc162c590dc-1,1cc162c590dc,train,train,page 124.
1cc162c590dc-2,1cc162c590dc,train,train,Let's write!
1cc162c590dc-5,1cc162c590dc,train,train,The giant saw me.
1cc162c590dc-7,1cc162c590dc,train,train,Both the actions were in the past.
1cc162c590dc-8,1cc162c590dc,train,train,When the first one was going on in the past
1cc162c590dc-9,1cc162c590dc,train,train,The second one happened. One.
1cc162c590dc-10,1cc162c590dc,train,train,Match the following and write complete sentences in the lines below.
1cc162c590dc-11,1cc162c590dc,train,train,What was happening?
1cc162c590dc-12,1cc162c590dc,train,train,What happened?
1cc162c590dc-16,1cc162c590dc,train,train,Paul was looking out of the window.  3
1cc162c590dc-18,1cc162c590dc,train,train,I was just completing the last answer.
1cc162c590dc-19,1cc162c590dc,train,train,5
1cc162c590dc-20,1cc162c590dc,train,train,The man was painting the wall. 6
1cc162c590dc-21,1cc162c590dc,train,train,Amit was doing his homework. 7
1cc162c590dc-22,1cc162c590dc,train,train,My mother was cooking dinner.
1cc162c590dc-23,1cc162c590dc,train,train,What happened?
1cc162c590dc-24,1cc162c590dc,train,train,The lights went out.
1cc162c590dc-25,1cc162c590dc,train,train,The bell rang. He noticed a lovely...
1cc162c590dc-27,1cc162c590dc,train,train,He fell off the ladder. I met Arun.
1cc162c590dc-29,1cc162c590dc,train,train,My pen ran out.
1cc162c590dc-30,1cc162c590dc,train,train,"Ma'am said, stop writing."
1cc162c590dc-32,1cc162c590dc,train,train,I was writing a letter when?
1cc162c590dc-33,1cc162c590dc,train,train,blank 2
1cc162c590dc-34,1cc162c590dc,train,train,blank 3
1cc162c590dc-35,1cc162c590dc,train,train,"When I met Arun, he was looking for his dog. Blank."
1cc162c590dc-36,1cc162c590dc,train,train,Please note that sometimes the order of the sentences changes. For example
1cc162c590dc-37,1cc162c590dc,train,train,"When I met Arun, he was looking for his dog."
1cc162c590dc-40,1cc162c590dc,train,train,2
1cc162c590dc-41,1cc162c590dc,train,train,Now complete the following suitably. 1
1cc162c590dc-42,1cc162c590dc,train,train,I was sitting in a taxi yesterday when... Blank!
1cc162c590dc-43,1cc162c590dc,train,train,2. He was...
1cc162c590dc-44,1cc162c590dc,train,train,Cleaning out his cupboard when.  BLANK
1cc162c590dc-46,1cc162c590dc,train,train,a dog ran out onto the road.
1cc162c590dc-47,1cc162c590dc,train,train,4
1cc162c590dc-50,1cc162c590dc,train,train,3
1cc162c590dc-51,1cc162c590dc,train,train,"When we compare two things, all people, we add er or more."
1cc162c590dc-52,1cc162c590dc,train,train,to the describing word.
1cc162c590dc-53,1cc162c590dc,train,train,when we compare three or more things.
1cc162c590dc-54,1cc162c590dc,train,train,or people we add...
1cc162c590dc-58,1cc162c590dc,train,train,Look at the following examples. When first do our compared?
1cc162c590dc-60,1cc162c590dc,train,train,Fast Faster
1cc162c590dc-63,1cc162c590dc,train,train,The car is faster than the sailboat.
1cc162c590dc-64,1cc162c590dc,train,train,The aeroplane is the fastest of all.
1cc162c590dc-65,1cc162c590dc,train,train,Difficult? More difficult?
1cc162c590dc-66,1cc162c590dc,train,train,most difficult.
1cc162c590dc-67,1cc162c590dc,train,train,Page 126.
1cc162c590dc-68,1cc162c590dc,train,train,Hitting a target is difficult.
1cc162c590dc-69,1cc162c590dc,train,train,Juggling caps is more difficult.
1cc162c590dc-72,1cc162c590dc,train,train,"Now, complete the following in the same way using the words easy or strong. 1"
1cc162c590dc-74,1cc162c590dc,train,train,Jumping is...
1cc162c590dc-75,1cc162c590dc,train,train,blank then skipping.
1cc162c590dc-76,1cc162c590dc,train,train,Walking is the Blank of all
