duplicate_type,key,occurrence_count,classification,description
CROSS_SPLIT_SENTENCE_OVERLAP,Fun time!,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,What happened?,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Paul was looking out of the window.  3,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,5,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,blank 2,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,blank 3,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,2,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,4,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,3,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,to the describing word.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,6,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Blank,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,blank,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Blank.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Creative Writing,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,"Say, aloud.",2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's share!,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Sun,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Cloud,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's talk.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's share,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,paper,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,page 84,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's do!,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,page 85,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,is,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,flies,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,nest,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Chapter 15,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Mother,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's try this.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,1,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 48,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's talk,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,56,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Chapter 18,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,What's the matter?,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,and you say the teacher sentences.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,What colour is this?,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,to the teacher.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Turtle,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's read.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,big,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 108,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 115,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 117,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,sequins,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,wall,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,van,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 112,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,A pilot.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 113.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,C,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,I,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,n,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,S,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 95,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Develop listening skills,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Unit 4,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Field,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's listen.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Dash,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Who am I?,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,cot,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 73,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Why?,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,fan,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,cow,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,This is a dash.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 79,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Puppy and I,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Elephant,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 68,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,dash dash,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Dash.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's write.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Queen,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Quiet!,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,One has been done for you.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 119,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,a sailor,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 151,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Three,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 28.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Creeper,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 35,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Amit,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 38,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Rip Van Winkle,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,7,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,2. Blank,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,blank 4,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,honour,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,dash,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,3 blank,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Help the children trace the letters.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,To the teacher,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 78,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Ask the students to stand in a circle and say the poem with actions to match.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,In the second picture,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's share.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,How do you feel?,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 6,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Material required.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Riddle time.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 23,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Unit 3,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,page 45,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Say these words aloud.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 49,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,B dash G,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 53,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Shop,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Raising awareness,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Trace along the dotted lines.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Pineapples,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,I do have.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,and frogs.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Fill in the blank.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,page 34,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Funny Bunny,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,page 83,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Picture Story,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,page 18,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Question number two.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Who are you?,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,one,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Unit 1,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Reading is fun. One.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Talk time.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Nina,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 44,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Butterfly,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,page 24.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's write,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Here are some alphabets given below.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 70,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 72,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 139,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Panchantantra stories,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 148,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page number,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Tell your friends.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Here you can see some pictures.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 123,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,music,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Dash!,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Here is a sentence given below.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Unit 9,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Word Building,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 43,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,9,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 101,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 103,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,talk,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,the,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,23 Dash,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Character sketch.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Space has been provided for your answer.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Here is a picture.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 37,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 31,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Helen Keller,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Mounds,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,say aloud,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Go!,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Space,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Teamwork,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's write. 1.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,One is done for you.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Nobody.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Why do you say so?,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 105,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Farm,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Frog,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,"For example,",2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,One has been done for you. One.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,fail,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,matching the color in the box.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,I have four legs.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,I am an animal.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Listen and repeat.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Temple,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,page 11.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Grow,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,One.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Rug,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Action Song,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,"and clap, clap, clap.",2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,dash 6,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,page 7.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,to the teacher. Help the children.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's do.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,sand,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Choose the right words.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,8,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 156,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Thank you.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Activity 3,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,the synopsis,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,She has denied healthy food.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,even though his fee was likely to be high.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,The doctor came in a few days,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,To the question as to what she should eat,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Later in the afternoon.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,"flowers, animals.",2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,"Surely, answered the light.",2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page number 32.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,"She saw her child too, bathed in sunlight.",2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,This chapter is written by Zakir Hussain.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,What did the physicians ask Saida's mother to do to get well?,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Who would you recommend to a patient in your neighbourhood?,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Think of other occasions.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,page 92.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,for the teacher.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,66,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,What is its area?,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Figure 7.19,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Are the sepals joined or separate?,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Answer the following questions.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Practice Time.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,rotating in a particular way.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page Number 98,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,about 2000 years ago.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Keywords,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Some important dates.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Activity 1,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Activity 2,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Iron,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,You,3,REVIEW,"Identical English target appears in test, train, val"
